TRT01A,rel_grp,group,label,stat_name,stat_label,stat,ord1,ord2
Placebo,Unrelated,Dose related,AE leads drug interrupt,p,%,32.55813953488372,1,1
Xanomeline High Dose,Unrelated,Dose related,AE leads drug interrupt,n,n,33,1,1
Xanomeline High Dose,Unrelated,Dose related,AE leads drug interrupt,p,%,45.83333333333333,1,1
Xanomeline Low Dose,Unrelated,Dose related,AE leads drug interrupt,n,n,22,1,1
Xanomeline Low Dose,Unrelated,Dose related,AE leads drug interrupt,p,%,22.916666666666664,1,1
Placebo,Related,Dose related,AE leads to dose reduction,n,n,21,1,1
Placebo,Related,Dose related,AE leads to dose reduction,p,%,24.418604651162788,1,1
Xanomeline High Dose,Related,Dose related,AE leads to dose reduction,n,n,45,1,1
Xanomeline High Dose,Related,Dose related,AE leads to dose reduction,p,%,62.5,1,1
Xanomeline Low Dose,Related,Dose related,AE leads to dose reduction,n,n,53,1,1
Xanomeline Low Dose,Related,Dose related,AE leads to dose reduction,p,%,55.208333333333336,1,1
Placebo,Unrelated,Dose related,AE leads to dose reduction,n,n,27,1,1
Placebo,Unrelated,Dose related,AE leads to dose reduction,p,%,31.3953488372093,1,1
Xanomeline High Dose,Unrelated,Dose related,AE leads to dose reduction,n,n,22,1,1
Xanomeline High Dose,Unrelated,Dose related,AE leads to dose reduction,p,%,30.555555555555557,1,1
Xanomeline Low Dose,Unrelated,Dose related,AE leads to dose reduction,n,n,23,1,1
Xanomeline Low Dose,Unrelated,Dose related,AE leads to dose reduction,p,%,23.958333333333336,1,1
Placebo,NA,NA,NA,bigN,N,86,99,99
Xanomeline High Dose,NA,NA,NA,bigN,N,72,99,99
Xanomeline Low Dose,NA,NA,NA,bigN,N,96,99,99
